# x u
7.054108381271362305e-01 -2.439421117305755615e-01
7.074148654937744141e-01 -2.426996529102325439e-01
7.094188332557678223e-01 -2.409818321466445923e-01
7.114228010177612305e-01 -2.387958616018295288e-01
7.134268283843994141e-01 -2.361497581005096436e-01
7.154308557510375977e-01 -2.330526262521743774e-01
7.174348831176757812e-01 -2.295141071081161499e-01
7.194389104843139648e-01 -2.255448997020721436e-01
7.214428782463073730e-01 -2.211565226316452026e-01
7.234468460083007812e-01 -2.163609862327575684e-01
7.254508733749389648e-01 -2.111708968877792358e-01
7.274549007415771484e-01 -2.055999487638473511e-01
7.294589281082153320e-01 -1.996623426675796509e-01
7.314629554748535156e-01 -1.933728754520416260e-01
7.334669232368469238e-01 -1.867472231388092041e-01
7.354709506034851074e-01 -1.798007488250732422e-01
7.374749183654785156e-01 -1.725502312183380127e-01
7.394789457321166992e-01 -1.650128066539764404e-01
7.414829730987548828e-01 -1.572053134441375732e-01
7.434870004653930664e-01 -1.491457670927047729e-01
7.454909682273864746e-01 -1.408523619174957275e-01
7.474949955940246582e-01 -1.323438137769699097e-01
7.494989633560180664e-01 -1.236382499337196350e-01
7.515029907226562500e-01 -1.147549375891685486e-01
7.535070180892944336e-01 -1.057130545377731323e-01
7.555110454559326172e-01 -9.653235226869583130e-02
7.575150132179260254e-01 -8.723155409097671509e-02
7.595190405845642090e-01 -7.783056795597076416e-02
7.615230083465576172e-01 -6.834939867258071899e-02
7.635270357131958008e-01 -5.880685523152351379e-02
7.655310630798339844e-01 -4.922290518879890442e-02
7.675350904464721680e-01 -3.961703553795814514e-02
7.695390582084655762e-01 -3.000905178487300873e-02
7.715430855751037598e-01 -2.041736245155334473e-02
7.735471129417419434e-01 -1.086142566055059433e-02
7.755510807037353516e-01 -1.360467169433832169e-03
7.775551080703735352e-01 8.067757822573184967e-03
7.795591354370117188e-01 1.740457490086555481e-02
7.815631031990051270e-01 2.663164772093296051e-02
7.835671305656433105e-01 3.573219105601310730e-02
7.855711579322814941e-01 4.468861967325210571e-02
7.875751256942749023e-01 5.348380282521247864e-02
7.895791530609130859e-01 6.210218742489814758e-02
7.915831804275512695e-01 7.052757591009140015e-02
7.935872077941894531e-01 7.874466478824615479e-02
7.955911755561828613e-01 8.673833310604095459e-02
7.975952029228210449e-01 9.449508041143417358e-02
7.995991706848144531e-01 1.020006164908409119e-01
8.016031980514526367e-01 1.092425808310508728e-01
8.036072254180908203e-01 1.162082701921463013e-01
8.056112527847290039e-01 1.228859573602676392e-01
8.076152205467224121e-01 1.292643249034881592e-01
8.096192479133605957e-01 1.353335529565811157e-01
8.116232156753540039e-01 1.410834640264511108e-01
8.136272430419921875e-01 1.465055793523788452e-01
8.156312704086303711e-01 1.515914499759674072e-01
8.176352977752685547e-01 1.563335657119750977e-01
8.196392655372619629e-01 1.607249975204467773e-01
8.216432929039001465e-01 1.647601872682571411e-01
8.236472606658935547e-01 1.684335321187973022e-01
8.256512880325317383e-01 1.717408895492553711e-01
8.276553153991699219e-01 1.746784150600433350e-01
8.296593427658081055e-01 1.772431582212448120e-01
8.316633105278015137e-01 1.794329285621643066e-01
8.336673378944396973e-01 1.812464892864227295e-01
8.356713056564331055e-01 1.826831549406051636e-01
8.376753330230712891e-01 1.837429404258728027e-01
8.396793603897094727e-01 1.844269186258316040e-01
8.416833877563476562e-01 1.847366243600845337e-01
8.436873555183410645e-01 1.846744865179061890e-01
8.456913828849792480e-01 1.842435002326965332e-01
8.476954102516174316e-01 1.834475398063659668e-01
8.496993780136108398e-01 1.822911351919174194e-01
8.517034053802490234e-01 1.807793825864791870e-01
8.537074327468872070e-01 1.789182722568511963e-01
8.557114005088806152e-01 1.767142117023468018e-01
8.577154278755187988e-01 1.741743236780166626e-01
8.597194552421569824e-01 1.713064461946487427e-01
8.617234230041503906e-01 1.681190282106399536e-01
8.637274503707885742e-01 1.646207571029663086e-01
8.657314777374267578e-01 1.608212143182754517e-01
8.677355051040649414e-01 1.567303985357284546e-01
8.697394728660583496e-01 1.523590236902236938e-01
8.717435002326965332e-01 1.477176994085311890e-01
8.737474679946899414e-01 1.428182423114776611e-01
8.757514953613281250e-01 1.376721411943435669e-01
8.777555227279663086e-01 1.322917938232421875e-01
8.797595500946044922e-01 1.266898512840270996e-01
8.817635178565979004e-01 1.208795607089996338e-01
8.837675452232360840e-01 1.148736774921417236e-01
8.857715129852294922e-01 1.086863130331039429e-01
8.877755403518676758e-01 1.023307442665100098e-01
8.897795677185058594e-01 9.582129865884780884e-02
8.917835950851440430e-01 8.917219936847686768e-02
8.937875628471374512e-01 8.239815384149551392e-02
8.957915902137756348e-01 7.551314681768417358e-02
8.977955579757690430e-01 6.853239238262176514e-02
8.997995853424072266e-01 6.147004663944244385e-02
9.018036127090454102e-01 5.434116348624229431e-02
9.038076400756835938e-01 4.716052487492561340e-02
9.058116078376770020e-01 3.994321823120117188e-02
9.078156352043151855e-01 3.270336240530014038e-02
9.098196625709533691e-01 2.545590698719024658e-02
9.118236303329467773e-01 1.821572333574295044e-02
9.138276576995849609e-01 1.099661272019147873e-02
9.158316850662231445e-01 3.813148941844701767e-03
9.178356528282165527e-01 -3.320283023640513420e-03
9.198396801948547363e-01 -1.039042416960000992e-02
9.218437075614929199e-01 -1.738334074616432190e-02
9.238476753234863281e-01 -2.428536675870418549e-02
9.258517026901245117e-01 -3.108402155339717865e-02
9.278557300567626953e-01 -3.776623308658599854e-02
9.298596978187561035e-01 -4.431929439306259155e-02
9.318637251853942871e-01 -5.073169246315956116e-02
9.338677525520324707e-01 -5.699143931269645691e-02
9.358717203140258789e-01 -6.308698654174804688e-02
9.378757476806640625e-01 -6.900797784328460693e-02
9.398797750473022461e-01 -7.474369555711746216e-02
9.418837428092956543e-01 -8.028416335582733154e-02
9.438877701759338379e-01 -8.561960607767105103e-02
9.458917975425720215e-01 -9.074147790670394897e-02
9.478957653045654297e-01 -9.564100205898284912e-02
9.498997926712036133e-01 -1.003101542592048645e-01
9.519038200378417969e-01 -1.047412231564521790e-01
9.539077877998352051e-01 -1.089276969432830811e-01
9.559118151664733887e-01 -1.128628998994827271e-01
9.579158425331115723e-01 -1.165409982204437256e-01
9.599198102951049805e-01 -1.199565306305885315e-01
9.619238376617431641e-01 -1.231050714850425720e-01
9.639278650283813477e-01 -1.259822994470596313e-01
9.659318923950195312e-01 -1.285846233367919922e-01
9.679358601570129395e-01 -1.309089362621307373e-01
9.699398875236511230e-01 -1.329530179500579834e-01
9.719439148902893066e-01 -1.347149163484573364e-01
9.739478826522827148e-01 -1.361933052539825439e-01
9.759519100189208984e-01 -1.373876035213470459e-01
9.779559373855590820e-01 -1.382976323366165161e-01
9.799599051475524902e-01 -1.389238238334655762e-01
9.819639325141906738e-01 -1.392672359943389893e-01
9.839679598808288574e-01 -1.393294036388397217e-01
9.859719276428222656e-01 -1.391124874353408813e-01
9.879759550094604492e-01 -1.386191099882125854e-01
9.899799823760986328e-01 -1.378524750471115112e-01
9.919839501380920410e-01 -1.368163228034973145e-01
9.939879775047302246e-01 -1.355148255825042725e-01
9.959920048713684082e-01 -1.339527368545532227e-01
9.979959726333618164e-01 -1.321353316307067871e-01
1.000000000000000000e+00 -1.300681382417678833e-01
